Variable;Depth;Value
O2;0;302.509613
O2;0.005;301.0469971
O2;0.01;297.1542053
O2;0.015;295.7004089
O2;0.02;293.1798096
O2;0.025;288.2273865
O2;0.03;286.064209
O2;0.035;282.5278015
O2;0.04;271.0387878
O2;0.045;273.5983887
O2;0.05;272.5020142
O2;0.055;266.377594
O2;0.06;248.7630005
O2;0.065;239.2169952
O2;0.07;233.4228058
O2;0.075;226.5019989
O2;0.08;210.1531982
O2;0.085;212.1548004
O2;0.09;212.9664001
O2;0.095;217.7873993
O2;0.1;204.5829926
O2;0.105;211.0411987
O2;0.11;217.1056061
O2;0.115;194.9512024
O2;0.12;196.0859985
O2;0.125;194.366806
O2;0.13;182.9129944
O2;0.135;181.5372009
O2;0.14;139.4389954
O2;0.145;119.8277969
O2;0.15;123.5843964
O2;0.155;123.9288025
O2;0.16;94.62719727
O2;0.165;97.80639648
O2;0.17;90.08599854
O2;0.175;79.66560364
O2;0.18;72.66519928
O2;0.185;70.83660126
O2;0.19;79.73040009
O2;0.195;71.68579865
O2;0.2;70.05480194
O2;0.205;59.72660065
O2;0.21;68.78320313
O2;0.215;64.5141983
O2;0.22;74.23600006
O2;0.225;65.35579681
O2;0.23;52.34280014
O2;0.235;35.70640182
O2;0.24;25.44560051
O2;0.245;15.80039978
O2;0.25;11.55760002
O2;0.255;13.40799999
O2;0.26;14.42819977
O2;0.265;8.861599922
O2;0.27;6.404200077
O2;0.275;2.655999899
O2;0.28;2.461600065
O2;0.285;1.651200056
O2;0.29;1.253999949
O2;0.295;1.222599983
O2;0.3;1.524000049
O2;0.305;1.923200011
O2;0.31;1.903399944
O2;0.315;2.999200106
O2;0.32;3.058199883
O2;0.325;2.359200001
O2;0.33;1.552000046
O2;0.335;0.236399993
O2;0;301.6730042
O2;0.005;301.1180115
O2;0.01;301.3937988
O2;0.015;300.6099854
O2;0.02;297.012207
O2;0.025;295.6459961
O2;0.03;294.2019958
O2;0.035;292.5082092
O2;0.04;286.2987976
O2;0.045;283.9599915
O2;0.05;286.6184082
O2;0.055;286.7502136
O2;0.06;280.5441895
O2;0.065;272.0787964
O2;0.07;272.5068054
O2;0.075;271.5075989
O2;0.08;263.6140137
O2;0.085;253.5532074
O2;0.09;252.9898071
O2;0.095;234.8731995
O2;0.1;235.9788055
O2;0.105;228.1309967
O2;0.11;211.5487976
O2;0.115;197.9346008
O2;0.12;178.8115997
O2;0.125;140.3901978
O2;0.13;162.7610016
O2;0.135;161.5870056
O2;0.14;142.7297974
O2;0.145;194.4658051
O2;0.15;181.1499939
O2;0.155;169.5789948
O2;0.16;151.5308075
O2;0.165;141.4308014
O2;0.17;134.8432007
O2;0.175;136.3529968
O2;0.18;135.0045929
O2;0.185;126.0818024
O2;0.19;115.8944016
O2;0.195;143.6672058
O2;0.2;102.9629974
O2;0.205;84.04180145
O2;0.21;68.52459717
O2;0.215;62.0340004
O2;0.22;54.10739899
O2;0.225;48.30939865
O2;0.23;50.11560059
O2;0.235;48.61899948
O2;0.24;41.86660004
O2;0.245;40.54199982
O2;0.25;34.6595993
O2;0.255;33.98619843
O2;0.26;37.77759933
O2;0.265;30.1882
O2;0.27;25.10700035
O2;0.275;23.5102005
O2;0.28;25.27160072
O2;0.285;27.83600044
O2;0.29;20.84480095
O2;0.295;13.3093996
O2;0.3;7.513400078
O2;0.305;4.985799789
O2;0.31;4.374800205
O2;0.315;3.874799967
O2;0.32;2.583400011
O2;0.325;1.299399972
O2;0.33;0.375200003
O2;0.335;0.396800011
O2;0;298.9989929
O2;0.005;297.9025879
O2;0.01;296.5325928
O2;0.015;284.1614075
O2;0.02;276.8062134
O2;0.025;269.229187
O2;0.03;265.8581848
O2;0.035;251.4226074
O2;0.04;233.4196014
O2;0.045;213.1002045
O2;0.05;202.6186066
O2;0.055;183.2742004
O2;0.06;169.520401
O2;0.065;158.6378021
O2;0.07;157.0991974
O2;0.075;150.3708038
O2;0.08;130.5390015
O2;0.085;125.517601
O2;0.09;122.8354034
O2;0.095;118.5531998
O2;0.1;105.3942032
O2;0.105;92.11820221
O2;0.11;82.68740082
O2;0.115;77.60099792
O2;0.12;71.45739746
O2;0.125;64.14900208
O2;0.13;78.30619812
O2;0.135;87.95359802
O2;0.14;90.73739624
O2;0.145;73.26879883
O2;0.15;61.1896019
O2;0.155;55.65779877
O2;0.16;50.37659836
O2;0.165;45.36420059
O2;0.17;40.99639893
O2;0.175;57.25859833
O2;0.18;41.91120148
O2;0.185;44.92179871
O2;0.19;40.02859879
O2;0.195;34.11420059
O2;0.2;28.05660057
O2;0.205;25.24040031
O2;0.21;23.08239937
O2;0.215;21.4640007
O2;0.22;20.34519958
O2;0.225;18.89859962
O2;0.23;16.7670002
O2;0.235;14.28299999
O2;0.24;10.97259998
O2;0.245;9.107199669
O2;0.25;6.914800167
O2;0.255;5.75880003
O2;0.26;5.395599842
O2;0.265;4.27820015
O2;0.27;3.337199926
O2;0.275;2.706199884
O2;0.28;2.428999901
O2;0.285;1.600399971
O2;0.29;0.905200005
O2;0.295;0.926800013
O2;0.3;0.614600003
O2;0.305;0.342599988
